Disease,State,District,map1,map2,map3
Urinary Tract Infection (UTI),,,https://maps.app.goo.gl/pcsz47gZ7hWPygVXA,https://maps.app.goo.gl/Gdg8qNQZNpQKaaydA,https://maps.app.goo.gl/Q9yVdhDZwM473cW9A
Anemia,,,https://maps.app.goo.gl/35SAEro9jnKxS8dB8,https://maps.app.goo.gl/XRFU5n6Cgm536QEy8,https://maps.app.goo.gl/Dc4QSfa1DcJGrAwf9
Leprosy,,,https://maps.app.goo.gl/zYDe2xVC5EUMhpiz5,https://maps.app.goo.gl/Y6TyHwDCRhpjREkFA,https://maps.app.goo.gl/S8gJfHicjfmHmtCx7
Psoriasis,,,https://maps.app.goo.gl/1B2a3S4fucJCPYBF6,https://maps.app.goo.gl/6c3pshrTAQpPgWZTA,https://maps.app.goo.gl/oP4UPNfsG5s93tJ76
Skin Cancer,,,https://maps.app.goo.gl/mhmfFfULSmLUDHT68,https://maps.app.goo.gl/Mmd5dLxGiokyM8vEA,https://maps.app.goo.gl/qLee6dEUmNQtuH8v7
HIV/AIDS,,,https://maps.app.goo.gl/xJZCgWtzEftPUmDh6,https://maps.app.goo.gl/8q9Mtm5hTTVps35b8,https://maps.app.goo.gl/k3p9wvSQey2KuUD1A
Depression,,,https://maps.app.goo.gl/XwTrCxMDSFNf1mCf9,https://maps.app.goo.gl/xp888TqR1uAuyuD36,https://maps.app.goo.gl/XwTrCxMDSFNf1mCf9
Meningitis,,,https://maps.app.goo.gl/VzKVnH44QCciF1xc8,https://maps.app.goo.gl/d5ofn6JmLBmF8AyZA,https://maps.app.goo.gl/w37jfcLJJFBT4sNS9
Typhoid Fever,,,https://maps.app.goo.gl/Hs4SxnsrjuG7ZoXH7,https://maps.app.goo.gl/VF3tr77ZSYNCnPK26,https://maps.app.goo.gl/QvhiT4jW8ZaY4PVt6
Tuberculosis (TB),,,https://maps.app.goo.gl/dNjDruZ53DTBnZw77,https://maps.app.goo.gl/C485jrXdUAez22d87,https://maps.app.goo.gl/uYPkMAvuxYwE6As69
Diphtheria,,,https://maps.app.goo.gl/mthGNkWwLkC5RNui6,https://maps.app.goo.gl/krzspzEYGmUFWMNc9,https://maps.app.goo.gl/Qkn3ZVvpY6PoUmtq9
Measles,,,https://maps.app.goo.gl/pQahDqjwW8PrCBR87,https://maps.app.goo.gl/aZ1YBLa97RZVRE537,https://maps.app.goo.gl/o2WvuYBncjUdfkKF6
Chickenpox,,,https://maps.app.goo.gl/hTNNBnhKqDST9EMFA,https://maps.app.goo.gl/zb2Maqc17R3pyXdP6,https://maps.app.goo.gl/XEStDSRT4oppswhe6
Tetanus,,,https://maps.app.goo.gl/CVETqLtPT4qUB5ud6,https://maps.app.goo.gl/Y9s1EJA5VsAqjsqj7,https://maps.app.goo.gl/gx1ehh4fMfJmnbR9A
Rabies,,,https://maps.app.goo.gl/SgsSx7VAUestF6Wx6,https://maps.app.goo.gl/nsHaFPoqtYLJn3ds5,https://maps.app.goo.gl/8dsRun6h2sheoa918
Leptospirosis,,,https://maps.app.goo.gl/pBd619w7dvXprd1b6,https://maps.app.goo.gl/jd36EqpiCfFM4bWY7,https://maps.app.goo.gl/7wbvd8QwhyEkhtWz5
Chikungunya,,,https://maps.app.goo.gl/ru42tzC2oRXFhKZr7,https://maps.app.goo.gl/dz8xzaeCdWPHEQQCA,https://maps.app.goo.gl/WQArGUstcP6n47M3A
Hepatitis A,,,https://maps.app.goo.gl/TPsEfMDr2LZqfGE39,https://maps.app.goo.gl/fcUtmNV15XXvrnP97,https://maps.app.goo.gl/cLtLY4uDbRQYvw5d8
Hepatitis C,,,,,
Liver Cirrhosis,,,,,
Cystic Fibrosis,,,,,
Multiple Sclerosis (MS),,,,,
Polio,,,,,
Ebola Virus Disease,,,,,
Zika Virus,,,,,
Anxiety Disorder,,,,,
Schizophrenia,,,,,
Lupus,,,,,
Celiac Disease,,,,,
Crohnâ€™s Disease,,,,,
Ulcerative Colitis,,,,,
Parkinsonâ€™s Disease,,,,,
Gout,,,,,
Varicella (Shingles),,,,,
